year,state_name,state_code,d_candidate,total_d_votes,d_vote_percentage,d_evs,r_candidate,total_r_votes,r_vote_percentage,r_evs,total_others_votes,others_vote_percentage,total_votes,diff_percent,evs
2024,Alabama,AL,Kamala Harris,772412,34.1,0.0,Donald Trump,1462616,64.57,9.0,30062,1.33,2265090,30.46999999999999,9.0
2024,Alaska,AK,Kamala Harris,140026,41.41,0.0,Donald Trump,184458,54.54,3.0,13693,4.05,338177,13.130000000000003,3.0
2024,Arizona,AZ,Kamala Harris,1582860,46.69,0.0,Donald Trump,1770242,52.22,11.0,37059,1.09,3390161,5.530000000000001,11.0
2024,Arkansas,AR,Kamala Harris,396905,33.56,0.0,Donald Trump,759241,64.2,6.0,26530,2.24,1182676,30.64,6.0
2024,California,CA,Kamala Harris,9276179,58.47,54.0,Donald Trump,6081697,38.33,0.0,507599,3.2,15865475,-20.14,54.0
2024,Colorado,CO,Kamala Harris,1728159,54.13,10.0,Donald Trump,1377441,43.14,0.0,87145,2.73,3192745,-10.990000000000002,10.0
2024,Connecticut,CT,Kamala Harris,992053,56.4,7.0,Donald Trump,736918,41.89,0.0,30039,1.71,1759010,-14.509999999999998,7.0
2024,Delaware,DE,Kamala Harris,289758,56.49,3.0,Donald Trump,214351,41.79,0.0,8803,1.72,512912,-14.700000000000003,3.0
2024,District of Columbia,DC,Kamala Harris,294185,90.28,3.0,Donald Trump,21076,6.47,0.0,10608,3.26,325869,-83.81,3.0
2024,Florida,FL,Kamala Harris,4683038,42.99,0.0,Donald Trump,6110125,56.09,30.0,100589,0.92,10893752,13.100000000000001,30.0
2024,Georgia,GA,Kamala Harris,2548017,48.53,0.0,Donald Trump,2663117,50.72,16.0,39771,0.76,5250905,2.1899999999999977,16.0
2024,Hawaii,HI,Kamala Harris,313044,60.59,4.0,Donald Trump,193661,37.48,0.0,9996,1.93,516701,-23.110000000000007,4.0
2024,Idaho,ID,Kamala Harris,274972,30.38,0.0,Donald Trump,605246,66.87,4.0,24839,2.74,905057,36.49000000000001,4.0
2024,Illinois,IL,Kamala Harris,3062863,54.37,19.0,Donald Trump,2449079,43.47,0.0,121368,2.15,5633310,-10.899999999999999,19.0
2024,Indiana,IN,Kamala Harris,1163603,39.62,0.0,Donald Trump,1720347,58.58,11.0,52727,1.8,2936677,18.96,11.0
2024,Iowa,IA,Kamala Harris,707278,42.52,0.0,Donald Trump,927019,55.73,6.0,29209,1.76,1663506,13.209999999999994,6.0
2024,Kansas,KS,Kamala Harris,544853,41.04,0.0,Donald Trump,758802,57.16,6.0,23936,1.8,1327591,16.119999999999997,6.0
2024,Kentucky,KY,Kamala Harris,704043,33.94,0.0,Donald Trump,1337494,64.47,8.0,32993,1.59,2074530,30.53,8.0
2024,Louisiana,LA,Kamala Harris,766870,38.21,0.0,Donald Trump,1208505,60.22,8.0,31600,1.57,2006975,22.009999999999998,8.0
2024,Maine,ME,Kamala Harris,435652,52.4,3.0,Donald Trump,377977,45.46,1.0,17746,2.13,831375,-6.939999999999998,4.0
2024,Maryland,MD,Kamala Harris,1902577,62.62,10.0,Donald Trump,1035550,34.08,0.0,100207,3.3,3038334,-28.54,10.0
2024,Massachusetts,MA,Kamala Harris,2126518,61.22,11.0,Donald Trump,1251303,36.02,0.0,95847,2.76,3473668,-25.199999999999996,11.0
2024,Michigan,MI,Kamala Harris,2736533,48.31,0.0,Donald Trump,2816636,49.73,15.0,111017,1.96,5664186,1.4199999999999946,15.0
2024,Minnesota,MN,Kamala Harris,1656979,50.92,10.0,Donald Trump,1519032,46.68,0.0,77909,2.39,3253920,-4.240000000000002,10.0
2024,Mississippi,MS,Kamala Harris,466668,38.0,0.0,Donald Trump,747744,60.89,6.0,13596,1.11,1228008,22.89,6.0
2024,Missouri,MO,Kamala Harris,1200599,40.08,0.0,Donald Trump,1751986,58.49,10.0,42742,1.43,2995327,18.410000000000004,10.0
2024,Montana,MT,Kamala Harris,231906,38.46,0.0,Donald Trump,352079,58.39,4.0,19005,3.15,602990,19.93,4.0
2024,Nebraska,NE,Kamala Harris,369995,38.86,1.0,Donald Trump,564816,59.32,4.0,17371,1.82,952182,20.46,5.0
2024,Nevada,NV,Kamala Harris,705197,47.49,0.0,Donald Trump,751205,50.59,6.0,28438,1.92,1484840,3.1000000000000014,6.0
2024,New Hampshire,NH,Kamala Harris,418488,50.65,4.0,Donald Trump,395523,47.87,0.0,12178,1.47,826189,-2.780000000000001,4.0
2024,New Jersey,NJ,Kamala Harris,2220713,51.97,14.0,Donald Trump,1968215,46.06,0.0,83797,1.96,4272725,-5.909999999999997,14.0
2024,New Mexico,NM,Kamala Harris,478802,51.85,5.0,Donald Trump,423391,45.85,0.0,21210,2.3,923403,-6.0,5.0
2024,New York,NY,Kamala Harris,4619195,55.91,28.0,Donald Trump,3578899,43.31,0.0,64401,0.78,8262495,-12.599999999999994,28.0
2024,North Carolina,NC,Kamala Harris,2715375,47.65,0.0,Donald Trump,2898423,50.86,16.0,85343,1.5,5699141,3.210000000000001,16.0
2024,North Dakota,ND,Kamala Harris,112327,30.51,0.0,Donald Trump,246505,66.96,3.0,9323,2.53,368155,36.44999999999999,3.0
2024,Ohio,OH,Kamala Harris,2533699,43.93,0.0,Donald Trump,3180116,55.14,17.0,53973,0.94,5767788,11.21,17.0
2024,Oklahoma,OK,Kamala Harris,499599,31.9,0.0,Donald Trump,1036213,66.16,7.0,30361,1.94,1566173,34.26,7.0
2024,Oregon,OR,Kamala Harris,1240600,55.27,8.0,Donald Trump,919480,40.97,0.0,84413,3.76,2244493,-14.300000000000004,8.0
2024,Pennsylvania,PA,Kamala Harris,3423042,48.49,0.0,Donald Trump,3543308,50.2,19.0,92382,1.31,7058732,1.7100000000000009,19.0
2024,Rhode Island,RI,Kamala Harris,285156,55.54,4.0,Donald Trump,214406,41.76,0.0,13824,2.69,513386,-13.780000000000001,4.0
2024,South Carolina,SC,Kamala Harris,1028452,40.36,0.0,Donald Trump,1483747,58.23,9.0,35941,1.41,2548140,17.869999999999997,9.0
2024,South Dakota,SD,Kamala Harris,146859,34.24,0.0,Donald Trump,272081,63.43,3.0,9982,2.33,428922,29.189999999999998,3.0
2024,Tennessee,TN,Kamala Harris,1056265,34.47,0.0,Donald Trump,1966865,64.19,11.0,40812,1.33,3063942,29.72,11.0
2024,Texas,TX,Kamala Harris,4835250,42.46,0.0,Donald Trump,6393597,56.14,40.0,159827,1.4,11388674,13.68,40.0
2024,Utah,UT,Kamala Harris,562566,37.79,0.0,Donald Trump,883818,59.38,6.0,42110,2.83,1488494,21.590000000000003,6.0
2024,Vermont,VT,Kamala Harris,235791,63.83,3.0,Donald Trump,119395,32.32,0.0,14236,3.85,369422,-31.509999999999998,3.0
2024,Virginia,VA,Kamala Harris,2333778,51.82,13.0,Donald Trump,2074097,46.06,0.0,95413,2.12,4503288,-5.759999999999998,13.0
2024,Washington,WA,Kamala Harris,2245849,57.23,12.0,Donald Trump,1530923,39.01,0.0,147471,3.76,3924243,-18.22,12.0
2024,West Virginia,WV,Kamala Harris,214309,28.1,0.0,Donald Trump,533556,69.97,4.0,14717,1.93,762582,41.87,4.0
2024,Wisconsin,WI,Kamala Harris,1668229,48.74,0.0,Donald Trump,1697626,49.6,10.0,57063,1.67,3422918,0.8599999999999994,10.0
2024,Wyoming,WY,Kamala Harris,69527,25.84,0.0,Donald Trump,192633,71.6,3.0,6888,2.56,269048,45.75999999999999,3.0
2024,United States,US,Kamala Harris,75017613,48.32,226.0,Donald Trump,77302580,49.8,312.0,2918109,1.88,155238302,1.4799999999999969,538.0
